MovieID	AverageScore
1	2.80
2	4.09
3	4.12
4	3.50
5	3.00
6	4.25
7	3.18
8	3.00
9	4.16
10	5.00
11	4.54
12	3.57
13	1.75
14	3.00
15	3.86
16	2.00
17	2.00
18	1.00
19	5.00
20	2.82
21	3.60
22	2.42
23	3.55
24	3.78
25	4.00
26	2.38
27	3.75
28	4.00
29	3.00
30	4.00
31	4.17
32	3.68
33	4.00
34	3.00
35	3.00
36	4.00
37	1.92
38	3.40
39	4.52
40	3.00
41	3.50
42	4.00
43	2.70
44	3.00
45	3.00
46	3.83
47	4.50
48	3.71
49	4.67
50	3.40
51	3.17
52	4.17
53	3.17
54	4.83
55	4.00
56	5.00
57	3.00
58	5.00
59	3.00
60	2.61
61	5.00
62	3.33
63	3.40
64	3.00
65	3.20
66	3.50
67	2.00
68	2.00
69	3.50
70	3.94
71	4.15
72	4.60
73	2.75
74	3.00
75	2.58
76	4.00
77	5.00
78	2.00
79	4.50
80	4.08
81	3.00
82	3.00
83	3.25
84	2.50
85	4.15
86	2.00
87	2.02
88	2.33
89	2.56
90	4.06
91	3.75
92	3.83
93	1.33
94	5.00
95	5.00
96	3.17
97	4.14
98	3.51
99	2.32
100	3.33
101	3.19
102	3.00
103	3.00
104	2.82
105	4.00
106	2.78
107	2.56
108	4.67
109	3.33
110	2.60
111	3.32
112	3.82
113	5.00
114	2.25
115	3.96
116	3.27
117	3.91
118	3.00
119	3.25
120	2.57
121	4.00
122	1.00
123	5.00
124	3.14
125	3.50
126	3.52
127	3.38
128	2.59
129	3.27
130	4.00
131	4.33
132	3.00
133	3.83
134	3.89
135	2.00
136	3.00
137	2.00
138	4.07
139	3.00
140	3.50
141	4.21
142	3.75
143	4.00
144	1.65
145	4.00
146	4.25
147	4.85
148	5.00
149	3.00
150	3.67
151	3.50
152	3.90
153	4.22
154	4.62
155	5.00
156	2.43
157	3.68
158	4.50
159	4.25
160	4.33
161	3.33
162	3.00
163	3.50
164	1.00
165	3.43
166	3.50
167	4.09
168	2.83
169	2.34
170	3.53
171	3.25
172	5.00
173	4.00
174	4.67
175	5.00
176	3.87
177	4.00
178	2.50
179	4.00
180	4.37
181	4.61
182	4.75
183	3.93
184	2.00
185	3.83
186	3.67
187	3.74
188	1.33
189	3.50
190	2.56
191	4.00
192	3.00
193	4.11
194	3.50
195	2.20
196	4.20
197	3.00
198	5.00
199	4.02
200	2.33
201	1.20
202	2.00
203	3.07
204	5.00
205	3.74
206	4.45
207	3.00
208	3.33
209	3.00
210	3.50
211	1.46
212	2.62
213	1.67
214	2.00
