MovieID	AverageScore
0	3.88
1	3.21
2	3.03
3	3.55
4	3.30
5	3.58
6	3.80
7	4.00
8	3.90
9	3.83
10	3.85
11	4.39
12	3.42
13	3.97
14	3.78
15	3.21
16	3.12
17	2.80
18	3.96
19	3.42
20	2.76
21	4.15
22	4.12
23	3.45
24	3.44
25	3.45
26	3.11
27	3.93
28	2.67
29	3.95
30	3.63
31	3.79
32	3.45
33	2.71
34	2.18
35	2.15
36	2.25
37	3.01
38	3.26
39	2.89
40	3.08
41	3.80
42	3.00
43	3.34
44	4.05
45	3.56
46	3.60
47	4.09
48	3.32
49	4.36
50	3.46
51	3.77
52	2.95
53	3.24
54	3.70
55	4.06
56	4.00
57	3.65
58	4.06
59	4.02
60	3.86
61	3.14
62	3.10
63	4.45
64	3.54
65	3.55
66	3.05
67	3.42
68	3.85
69	3.66
70	3.78
71	3.19
72	3.47
73	3.00
74	3.00
75	3.41
76	3.28
77	2.45
78	4.04
79	2.76
80	3.55
81	3.72
82	4.06
83	3.00
84	3.03
85	3.94
86	3.91
87	3.54
88	4.14
89	3.05
90	3.59
91	3.62
92	3.72
93	3.09
94	3.81
95	4.01
96	3.79
97	4.29
98	3.71
99	4.16
100	3.26
101	3.13
102	1.87
103	1.40
104	2.57
105	2.89
106	3.50
107	3.08
108	3.43
109	2.52
110	3.49
111	2.45
112	4.11
113	4.45
114	3.73
115	3.82
116	3.69
117	3.22
118	4.50
119	2.24
120	3.44
121	2.34
122	3.23
123	4.05
124	3.56
125	3.80
126	4.28
127	3.54
128	3.82
129	2.26
130	3.73
131	4.08
132	3.87
133	4.29
134	3.97
135	4.12
136	3.90
137	2.58
138	2.78
139	3.21
140	3.50
141	3.07
142	3.77
143	3.87
144	2.45
145	2.50
146	3.47
147	3.20
148	3.00
149	3.83
150	3.63
151	3.63
152	3.79
153	3.75
154	3.10
155	3.99
156	3.69
157	2.62
158	3.23
159	3.46
160	3.48
161	3.56
162	3.55
163	3.59
164	4.11
165	4.12
166	2.96
167	4.07
168	4.47
169	4.17
170	3.88
171	4.20
172	4.17
173	4.25
174	3.82
175	3.95
176	3.86
177	4.34
178	3.91
179	4.05
180	4.01
181	3.95
182	4.03
183	3.43
184	4.10
185	3.84
186	4.19
187	3.68
188	4.11
189	4.14
190	4.16
191	4.12
192	3.92
193	4.06
194	3.93
195	3.92
196	4.10
197	4.01
198	4.18
199	3.83
200	3.52
201	3.76
202	3.87
203	3.83
204	3.99
205	3.38
206	3.82
207	3.94
208	3.91
209	3.93
210	3.91
211	3.46
212	3.99
213	3.35
214	3.70
215	3.91
216	3.16
217	3.46
218	3.17
219	3.36
220	3.73
221	3.66
222	4.20
223	3.70
224	2.91
225	3.36
226	3.28
227	3.82
228	3.11
229	3.45
230	2.68
231	3.21
232	3.29
233	3.77
234	2.85
235	3.62
236	3.71
237	3.88
238	3.51
239	2.79
240	3.55
241	3.99
242	2.44
243	3.17
244	3.11
245	3.94
246	1.80
247	3.67
248	3.25
249	3.48
250	4.26
251	2.94
252	3.69
253	2.45
254	3.36
255	3.56
256	3.75
257	3.80
258	2.69
259	2.57
260	2.56
261	3.71
262	2.16
263	2.74
264	3.86
265	2.71
266	3.44
267	3.79
268	3.93
269	3.60
270	3.23
271	4.26
272	3.57
273	3.50
274	4.01
275	3.70
276	3.46
277	3.23
278	3.29
279	3.19
280	3.14
281	3.69
282	3.72
283	3.16
284	4.27
285	3.66
286	3.59
287	3.44
288	2.98
289	3.11
290	3.37
291	3.67
292	3.80
293	3.16
294	3.40
295	3.33
296	3.96
297	3.77
298	2.93
299	3.63
300	3.30
301	4.16
302	3.69
303	3.54
304	3.64
305	3.95
306	3.52
307	2.97
308	2.86
309	3.60
310	3.68
311	3.16
312	4.25
313	1.00
314	4.10
315	4.20
316	3.91
317	4.47
318	3.27
319	4.05
320	3.13
321	3.09
322	2.93
323	3.14
324	2.55
325	3.36
326	3.38
327	3.42
328	3.33
329	3.02
330	3.54
331	3.46
332	3.59
333	3.36
334	2.76
335	2.63
336	3.00
337	2.66
338	3.26
339	3.59
340	3.09
341	2.92
342	3.10
343	3.65
344	3.40
345	3.64
346	3.51
347	3.30
348	2.90
349	3.15
350	2.70
351	2.12
352	2.43
353	3.49
354	2.93
355	3.38
356	4.29
357	2.62
358	3.50
359	3.20
360	3.50
361	2.82
362	2.72
363	2.68
364	3.21
365	3.34
366	3.46
367	1.90
368	2.64
369	2.82
370	3.16
371	3.53
372	2.90
373	2.27
374	1.96
375	2.83
376	2.15
377	3.72
378	2.98
379	3.34
380	3.55
381	3.59
382	2.06
383	2.78
384	3.56
385	2.82
386	3.38
387	2.39
388	3.44
389	3.20
390	2.75
391	3.54
392	3.41
393	3.33
394	2.59
395	2.81
396	2.58
397	2.08
398	3.30
399	2.72
400	2.80
401	3.46
402	3.43
403	3.67
404	3.31
405	2.45
406	2.51
407	4.49
408	3.14
409	3.13
410	2.91
411	2.40
412	2.64
413	3.53
414	2.84
415	3.48
416	3.10
417	3.58
418	3.72
419	3.67
420	3.59
421	2.85
422	3.83
423	1.32
424	3.74
425	2.84
426	4.29
427	3.82
428	3.94
429	4.00
430	3.54
431	3.77
432	3.69
433	3.84
434	3.95
435	3.54
436	1.00
437	1.17
438	1.00
439	1.64
440	2.57
441	1.25
442	3.81
443	2.72
444	3.50
445	2.44
446	3.50
447	3.39
448	3.03
449	2.40
450	3.35
451	2.67
452	1.94
453	2.88
454	3.26
455	2.31
456	1.74
457	3.12
458	3.75
459	3.00
460	3.62
461	3.80
462	3.86
463	3.59
464	3.56
465	3.60
466	3.79
467	3.31
468	3.78
469	3.67
470	3.61
471	3.08
472	3.13
473	4.25
474	3.88
475	3.02
476	3.21
477	4.12
478	4.25
479	4.28
480	3.94
481	3.98
482	4.46
483	4.21
484	3.82
485	3.80
486	4.10
487	4.20
488	4.12
489	4.02
490	3.79
491	3.86
492	4.15
493	4.00
494	3.66
495	4.12
496	3.84
497	4.18
498	3.95
499	3.90
500	3.50
501	3.70
502	3.64
503	3.82
504	4.00
505	3.86
506	3.82
507	3.60
508	3.85
509	3.94
510	4.23
511	4.00
512	4.33
513	3.91
514	4.20
